2019,2016,2013,2010,2007,2004,2001,1998,1995,1992,1989
359350,-1095.479606,8379.038629,-74229.66656,19790566.24,5970970.384,525556.1115,15788081.38,27961.03753,115611.0024,-537.0173593
5000,7020.641632,117465775.5,-17083.42755,329748.1326,511092.5063,411389.5531,17568.12396,60195.52318,116719.3806,507183.0616
4900,8828.714768,116876936.6,-17791.555,329748.1326,450154.5536,607357.4255,17363.66057,60195.52318,116719.3806,507183.0616
5000,7392.891983,122689661.3,-22822.67685,330982.5433,459847.6873,474618.0405,16011.05657,60195.52318,116719.3806,507183.0616
5000,7637.513643,126806262.1,-20466.1795,328501.3777,504558.114,493104.2131,17772.58735,60195.52318,116719.3806,507183.0616
5000,10636.7879,118591619.6,-20454.39701,330982.5433,463846.9523,718823.2697,16419.98336,60195.52318,116719.3806,507183.0616
318950,14624.12096,-71381.06303,37232.65815,166645.4456,67919.72033,1458385.714,6070.990017,402388.5431,184368889.6,3520.447133
317650,12677.7834,-71381.06303,38057.43222,236513.0917,149260.7028,1456941.482,4309.459235,374010.1766,184808665.5,2386.743819
317750,17453.22363,-72479.23323,37468.30788,162448.4492,108590.2116,1456941.482,5866.526622,322261.3907,184640621,2943.65071
317650,16102.48664,-71381.06303,37821.78249,303047.8289,196709.6092,1455497.25,5866.526622,327269.3378,185298497.2,2506.08101
319950,16666.18003,-71381.06303,38764.38143,166522.0046,199420.9753,1456797.059,4293.731281,337285.2318,184638833.3,2943.65071
8800,152415247.5,162199.7386,67010065.63,281581.4267,49075.72607,125648.2047,61653.57737,285235.9691,328509.0118,16906.10205
8800,152217423.1,162199.7386,58844802.31,396221.1492,77680.63822,101832.8151,61810.85691,301044.3885,328509.0118,16846.43346
8800,109867032.4,162199.7386,65103659.27,345968.2893,81612.11904,119957.9297,61810.85691,329122.2782,328509.0118,16846.43346
8800,152234440.2,162199.7386,57903381.61,398924.5087,70902.22302,89484.62949,61653.57737,271914.83,328509.0118,16886.21252
8800,109807472.3,162199.7386,63829972.45,318601.4039,68190.85694,95073.80825,61653.57737,320959.3245,328509.0118,16846.43346
9377500,188784.1069,161881.2692,2239.850732,366002.7751,127135.9555,-491.038961,78.63976706,95484.85651,583650.5343,5748.074698
9306500,188784.1069,141235.6695,2310.545653,271570.3559,153870.0251,-491.038961,78.63976706,105500.7506,598345.4846,5648.627038
6721500,189741.3221,143212.3758,-3651.392646,343042.7359,175018.6805,-505.4812834,78.63976706,95150.99338,405988.227,5748.074698
10627500,188677.7497,220633.375,-1294.895294,383161.0839,137330.692,-505.4812834,78.63976706,92980.883,580468.4161,5648.627038
7368500,188677.7497,160783.099,1061.602057,400195.9517,158479.3474,-519.9236058,78.63976706,96486.44592,470524.4444,5648.627038
165800,105007.5699,9819837.932,-316.9488937,5110.460333,622800.7888,44439.02597,19502.66223,28211.43488,38435.6974,0
164800,109049.1452,16517577.98,-434.7737613,4987.019262,622800.7888,42994.79374,19659.94176,28211.43488,38435.6974,0
164800,116494.1522,9247691.258,-316.9488937,5110.460333,622800.7888,44453.4683,19659.94176,28211.43488,38435.6974,0
164800,104241.7978,8610752.541,-316.9488937,5110.460333,622800.7888,43009.23606,19817.2213,28211.43488,32893.80615,0
165800,107038.9933,8204429.567,-316.9488937,4987.019262,622800.7888,42994.79374,19659.94176,28211.43488,38435.6974,0
-7215,798955.6118,830875.5736,942.5989405,299591.4789,96117.92757,14774.4958,213821.5266,721812.0971,332513.4752,115458.7323
-9310,798955.6118,830875.5736,942.5989405,299591.4789,96253.49588,-2426.31016,213664.2471,510894.0618,332513.4752,115458.7323
-10200,798955.6118,830875.5736,942.5989405,299468.0379,96117.92757,7120.064935,213821.5266,856659.4172,332513.4752,115458.7323
-9300,798955.6118,831973.7438,942.5989405,299591.4789,96117.92757,7842.181054,213978.8062,611470.3311,332513.4752,115458.7323
-8215,798955.6118,831973.7438,942.5989405,299591.4789,96117.92757,11033.9343,213821.5266,673068.0795,332513.4752,115458.7323
215400,294609.564,-4173.046762,4233211.842,21108.42312,0,-4477.119939,1887.354409,45563286.88,220781.7967,934.8079958
228100,295673.1364,-4173.046762,4565124.494,20861.54097,0,-4477.119939,1730.074875,45931304.22,254104.6525,8274.045239
223700,296736.7089,-4173.046762,4314628.825,21108.42312,0,-4477.119939,1730.074875,46121472.66,400893.2624,596.6859548
221300,295673.1364,-4173.046762,4163812.995,21108.42312,0,-4477.119939,1730.074875,45704995.09,279096.7943,835.3603367
223500,296736.7089,-4173.046762,4409949.143,21231.86419,0,-4477.119939,1730.074875,45214232.98,166810.9267,735.9126775
-4730,71684.782,137820.3602,309879.4017,9135.873653,56925.13087,60227083.96,8729.014143,38394.26049,473206.0047,397.7906365
-3530,74609.60619,42279.55272,308701.153,9135.873653,56884.46038,60225639.73,8729.014143,38394.26049,680580,397.7906365
-3030,79555.218,75224.65873,306462.4805,9135.873653,64706.75152,60211197.4,8729.014143,38561.19205,567954.4681,397.7906365
-2330,69025.85091,293760.5286,314710.2213,9135.873653,72962.86124,60212641.64,8729.014143,38394.26049,501809.3144,397.7906365
-3130,73173.7834,96089.89254,309879.4017,9135.873653,64720.30835,60211197.4,8729.014143,38561.19205,544714.279,397.7906365
3372420,1386430.481,4786265.002,4948.644438,509935.0637,1141824.041,346687.9488,16557256.94,78457.83665,5280170.969,36636.51762
3197220,1386536.838,4923536.277,4948.644438,507589.6833,1141824.041,346976.7953,13164611.56,78457.83665,4046295.697,36636.51762
3033100,1386536.838,4685343.16,4948.644438,508824.094,1141824.041,345749.1979,26523541.99,78457.83665,4034139.291,36636.51762
3062600,1386015.688,5107040.517,5066.469305,509935.0637,1141824.041,346904.5837,15943426.37,78457.83665,4057915.792,36636.51762
3366100,1386430.481,5046531.339,4948.644438,509935.0637,1141824.041,346687.9488,7350852.226,78457.83665,4063815.225,36636.51762
-45570,24675.94402,695141.7369,3741293.02,429574.9265,2680185.371,433.2696715,2077662.646,1276592.468,4308552.293,77469.72646
-23980,23612.37159,696239.9071,3743060.393,465866.6014,2678829.688,462.1543163,2077662.646,1259899.311,4308552.293,75480.77328
-28780,24675.94402,694043.5667,3740114.771,357115.018,2680185.371,433.2696715,2077662.646,1221505.051,4308552.293,69513.91373
-28420,24675.94402,694043.5667,3741882.144,460928.9585,2680185.371,462.1543163,2077662.646,1216497.104,4308552.293,67524.96055
-21180,24675.94402,695141.7369,3741293.02,353411.7858,2678829.688,433.2696715,2077662.646,1236528.892,4308552.293,66132.69332
88040,62867766.53,1768054.023,36237.03802,48895.00816,116046.4683,374778.2659,10899.47171,3304410.375,190122.6241,7259.679116
86930,63268733.33,1985491.722,36125.10439,46919.95103,117266.583,373334.0336,4639.746256,3304410.375,190122.6241,7259.679116
87400,62398731.08,1834493.32,36007.27953,48524.68495,117402.1513,374633.8426,6920.299501,3304410.375,190122.6241,7259.679116
86030,62726311.39,1818569.852,36237.03802,46673.06889,116046.4683,373334.0336,4120.723794,3304410.375,190122.6241,7259.679116
85730,68436631.79,1965724.659,36237.03802,46055.86353,117266.583,374778.2659,8540.278702,3304410.375,190122.6241,7259.679116
9860,1286922.644,439.2680802,10875.23528,20046.82991,37199.94263,15824106.02,-12896.9218,398131.7881,1537427.896,191337.2962
9860,1225235.443,549.0851002,10875.23528,19602.44205,37118.60165,15750753.46,-11166.84692,398131.7881,724021.2766,197304.1557
8640,1235871.167,549.0851002,10875.23528,19725.88312,37118.60165,15141821.83,-12739.64226,398131.7881,813406.6194,159514.0452
6940,1186734.121,549.0851002,10875.23528,19725.88312,37118.60165,15509234.51,-13840.599,398131.7881,393295.5083,191337.2962
12800,1213536.146,735.7740343,10993.06014,20046.82991,36983.03335,15515964.63,-12110.52413,398131.7881,2145248.227,191337.2962
8352500,11085190.04,6698.838223,26746.24494,24995582.44,1610009.179,0,199697.8245,137115920.1,63363481.8,0
8504500,11086147.26,6698.838223,21915.42537,24993113.61,1610009.179,0,195781.5641,133460118.8,125759814.2,0
8506000,11086253.62,6808.655243,30280.99096,24994348.03,1610009.179,0,199068.7063,149966312.1,68476323.4,0
8450000,11086147.26,6808.655243,34993.98567,24994348.03,1608653.496,0,198596.8677,149306932.5,68093754.14,0
8441000,11086147.26,6808.655243,30634.46557,24991879.2,1608653.496,0,202072.7454,154007725.4,127914001,0
43700,505941.4065,5598471.682,406849.2677,309528.4852,0,351814.9733,776803.619,170019.8013,2860.330969,15951.40452
42700,505941.4065,5599569.852,408027.5164,322613.2387,0,339827.8457,778376.4143,164310.7417,2860.330969,15951.40452
42700,505941.4065,5598548.554,399779.7756,370138.0509,0,348854.2972,775230.8236,196378.2958,2860.330969,15951.40452
42700,505941.4065,5598515.609,405553.1941,400134.2312,0,343294.0031,778376.4143,191253.4967,2860.330969,15951.40452
42700,505941.4065,5598691.316,412740.5111,305454.9298,0,336361.6883,778219.1348,177732.0397,2860.330969,15951.40452
75040,44457.32771,59960.09294,130196.4787,14936.36957,38664.08032,442657.1811,360170.1331,124197.0861,27280.40662,-1193.37191
75050,44563.68495,60948.44612,119474.4157,15059.81064,38664.08032,442657.1811,360170.1331,165429.1832,28531.80142,-1193.37191
75045,45414.5429,61058.26314,83891.3057,14936.36957,38664.08032,442657.1811,360170.1331,536184.1943,40688.20804,-1193.37191
75050,44563.68495,60948.44612,96027.26706,15059.81064,38799.64862,442657.1811,360327.4127,159252.7152,22811.13948,-1193.37191
74045,45414.5429,61058.26314,93317.29511,14812.9285,38799.64862,444101.4133,360170.1331,156915.6733,29961.9669,-1193.37191
14265280,470099.0155,16505.49811,529269.3051,20861.54097,240498.1714,191938.4645,536480.4909,375929.8896,-14927.35225,23071.85692
14273290,440425.3446,15407.32791,528680.1807,20984.98204,281575.3675,151211.1154,537109.609,656374.9227,-14927.35225,23191.19411
14263280,445743.2068,15401.83706,529033.6553,20984.98204,358849.3008,135757.8304,535379.5341,412654.8344,-14927.35225,23171.30458
14275280,470099.0155,15407.32791,527266.2823,20984.98204,757420.1147,536243.4301,536952.3295,375929.8896,-14927.35225,23171.30458
14274280,470205.3727,15401.83706,526559.3331,20984.98204,265713.8759,168830.7487,535379.5341,511144.4592,-14927.35225,23071.85692
2376500,620732.7792,14429.95643,110354.771,93890.5129,31248.49408,43326.96715,25730.93178,3839.426049,280455.4515,79319.45292
2059500,618041.9409,15517.14493,107880.4487,92532.66112,31248.49408,55025.24828,25715.20383,3839.426049,280455.4515,79160.33667
1742500,625901.7412,15528.12663,128499.8006,93569.56611,31248.49408,150243.4798,24189.59235,3839.426049,280455.4515,79160.33667
2367500,606661.7159,15539.10834,110943.8953,93260.96344,31248.49408,55602.94118,19455.47837,3839.426049,280455.4515,79160.33667
1472500,618148.2982,15528.12663,107998.2736,93754.72772,31248.49408,60657.75401,18511.80117,3839.426049,280455.4515,79319.45292
186200,188145.9634,3755.742085,838913.057,144327.3,159021.6207,249779.9656,141708.8602,2006851.302,3475480.898,0
187100,173255.9494,11926.12838,995031.0065,128403.4019,159157.189,246458.2315,140136.0649,1393878.587,3456352.435,0
200200,176446.6667,10366.72669,826541.4459,115935.8537,159021.6207,247613.6173,140136.0649,3226787.197,3211436.596,0
209200,204099.5499,7006.325879,824891.8978,136920.8358,159021.6207,249635.5424,141866.1398,1614228.256,3417559.196,0
205200,173255.9494,11695.51263,911257.5257,119639.0859,159021.6207,253823.8159,140293.3444,1763131.214,3579704.208,0
-2900,166332.0928,224465.989,-30398.81583,55548.48188,466354.9659,15671797.29,32163.66473,144562.7373,346582.7281,676.2440821
-2900,166863.879,222357.5022,10839.88782,56042.24616,464999.2829,6471171.39,87683.34027,150405.3422,289519.1253,3480.668069
-2900,171107.5331,235239.0386,4948.644438,56165.68724,464999.2829,3221360.008,35309.25541,150405.3422,135597.565,3480.668069
-2900,172181.7412,239456.0122,33697.91212,55548.48188,464999.2829,3336320.894,57642.94925,151740.7947,150238.8842,2963.540242
